,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Rawson,0,AR,1563938663,60,-43.3,-65.11,277.352,2.06
375,Huarmey,60,PE,1563938663,87,-10.07,-78.15,289.972,8.62
376,Palu,80,ID,1563938663,66,-0.9,119.87,301.522,2.06
377,Porto Walter,4,BR,1563938664,90,-8.27,-72.74,295.482,0.96
378,Mizdah,0,LY,1563938664,63,31.45,12.98,291.502,2.87
379,Moose Factory,75,CA,1563938664,82,51.26,-80.61,286.15,2.6
380,Karlovac,0,HR,1563938664,93,45.49,15.55,295.93,0.5
381,Taoudenni,10,ML,1563938421,23,22.68,-3.98,307.462,2.75
382,Mega,36,ET,1563938664,74,4.06,38.32,291.352,8.5
383,Narsaq,75,GL,1563938664,76,60.91,-46.05,282.15,3.6
384,Henties Bay,0,NA,1563938665,92,-22.12,14.28,283.15,0.45
385,Saint-Francois,0,FR,1563938665,77,46.42,3.91,293.15,0.5
386,Padang,100,ID,1563938665,83,-0.92,100.36,300.172,9.23
387,Pak Phanang,20,TH,1563938665,66,8.35,100.2,305.15,1.0
388,Leningradskiy,100,RU,1563938666,77,69.38,178.42,277.892,6.93
389,Sehore,20,IN,1563938666,74,23.2,77.08,302.15,4.1
390,Bocana de Paiwas,99,NI,1563938666,98,12.79,-85.12,293.612,1.31
391,Bom Jesus,40,BR,1563938666,83,-5.99,-35.58,297.15,2.6
392,Misratah,0,LY,1563938666,75,32.38,15.09,298.992,3.02
393,Tehachapi,1,US,1563938667,36,35.13,-118.45,310.15,3.6
394,Saskylakh,84,RU,1563938667,44,71.97,114.09,286.222,4.02
395,Sangar,0,RU,1563938667,30,63.92,127.47,299.412,1.9
396,Gizo,0,IL,1563938667,64,31.8,34.94,296.15,3.1
397,Nouakchott,0,MR,1563938667,74,18.08,-15.98,300.15,4.6
398,Sobolevo,67,RU,1563938526,96,54.43,31.9,287.152,3.38
399,Muroto,75,JP,1563938667,74,33.37,134.14,301.15,1.5
400,Lorengau,97,PG,1563938380,77,-2.02,147.27,301.312,5.46
401,Slave Lake,75,CA,1563938668,83,55.28,-114.77,295.15,2.6
402,Singaparna,84,ID,1563938668,69,-7.35,108.11,297.442,2.4
403,Cajamarca,83,PE,1563938668,84,-7.16,-78.52,284.882,1.93
404,Vesele,100,UA,1563938669,78,47.02,34.92,292.142,3.67
405,Makakilo City,1,US,1563938669,58,21.35,-158.09,304.15,6.2
406,Tawau,75,MY,1563938669,78,4.26,117.89,300.15,1.5
407,Solnechnyy,100,RU,1563938392,98,50.72,136.64,282.282,3.56
408,Tshikapa,18,CD,1563938669,31,-6.42,20.79,291.062,1.06
409,Caravelas,26,BR,1563938669,84,-17.73,-39.27,295.732,3.47
410,Luwuk,100,ID,1563938670,74,-0.95,122.79,293.552,2.18
411,Eucaliptus,61,BO,1563938670,81,-17.6,-67.51,277.722,4.95
412,Sandpoint,1,US,1563938624,41,48.28,-116.55,305.15,1.5
413,Santa Isabel do Rio Negro,89,BR,1563938670,92,-0.41,-65.02,295.782,0.93
414,Merrill,1,US,1563938670,33,42.03,-121.6,297.15,7.7
415,Palmer,75,AU,1563938671,87,-34.85,139.16,288.71,6.7
416,Mbanza-Ngungu,13,CD,1563938671,83,-5.25,14.87,292.672,1.3
417,Seryshevo,100,RU,1563938671,97,51.09,128.38,286.752,2.18
418,Banjar,92,ID,1563938671,76,-7.37,108.54,297.792,1.76
419,Cabo San Lucas,40,MX,1563938650,78,22.89,-109.91,303.71,8.7
420,San Jose,1,HN,1563938672,61,14.25,-87.96,299.15,3.1
421,Wukari,100,NG,1563938672,94,7.87,9.78,295.792,2.53
422,Pastavy,0,BY,1563938672,95,55.11,26.84,286.232,2.93
423,San Clemente,40,US,1563938647,83,33.43,-117.61,302.59,2.1
424,Escanaba,1,US,1563938672,82,45.75,-87.06,291.15,1.54
425,Mwinilunga,64,ZM,1563938440,50,-11.73,24.43,282.612,2.32
426,Gamba,1,CN,1563938673,23,28.28,88.52,285.292,5.9
427,Darhan,100,MN,1563938673,98,49.49,105.92,287.482,1.49
428,Meadow Lake,0,CA,1563938673,73,54.13,-108.44,296.442,1.06
429,Djibo,100,BF,1563938673,68,14.1,-1.63,300.412,4.95
430,Marawi,75,PH,1563938674,75,8.0,124.29,302.04,2.68
431,Doka,97,SD,1563938674,82,13.52,35.76,297.122,4.42
432,Cockburn Town,2,TC,1563938674,79,21.46,-71.14,302.082,8.22
433,San Carlos de Bariloche,0,AR,1563938674,92,-41.13,-71.31,264.15,2.6
434,Neosho,1,US,1563938674,88,43.31,-88.52,293.15,1.5
435,Okato,0,NZ,1563938675,79,-39.19,173.88,285.212,4.55
436,Guayaramerin,7,BO,1563938675,63,-10.82,-65.36,296.972,1.08
437,Bharatpur,75,IN,1563938675,100,27.22,77.5,305.15,2.1
438,Muisne,88,EC,1563938676,83,0.61,-80.02,296.342,7.11
439,Davidson,0,CA,1563938676,74,51.26,-105.98,296.48,4.73
440,Yueyang,0,CN,1563938676,66,29.36,113.12,305.802,5.08
441,Haines Junction,100,CA,1563938676,54,60.75,-137.51,288.892,3.67
442,Aloleng,100,PH,1563938676,73,16.13,119.78,302.132,3.25
443,Jiexiu,0,CN,1563938676,28,37.02,111.92,305.172,1.84
444,Altay,71,CN,1563938677,59,47.83,88.13,287.712,2.97
445,Pacific Grove,1,US,1563938677,67,36.62,-121.92,299.26,4.1
446,Ndjole,100,GA,1563938677,88,-0.18,10.76,295.862,1.65
447,Guozhen,0,CN,1563938677,66,29.3,113.14,305.802,5.08
448,Husavik,70,CA,1563938677,62,50.56,-96.99,294.26,2.26
449,Ryotsu,47,JP,1563938677,74,38.08,138.43,302.15,2.6
450,Monrovia,75,LR,1563938678,94,6.33,-10.8,298.15,4.64
451,Oban,99,GB,1563938678,86,56.42,-5.47,292.04,1.62
452,Batsfjord,0,NO,1563938678,72,70.63,29.72,291.15,2.1
453,Marrakesh,0,MA,1563938657,73,31.63,-7.99,296.15,2.6
454,Weiser,40,US,1563938678,39,44.25,-116.97,301.48,4.1
455,Kassala,10,SD,1563938679,68,15.45,36.38,299.892,7.25
456,Oistins,75,BB,1563938416,88,13.07,-59.53,299.15,8.7
457,Bonavista,100,CA,1563938679,79,48.65,-53.11,284.26,4.92
458,Grootfontein,0,NA,1563938679,28,-19.56,18.1,281.15,2.6
459,Abapo,100,BO,1563938679,49,-18.83,-63.47,286.412,2.73
460,Moroni,0,GR,1563938679,64,35.09,24.92,299.82,6.7
461,Vista Hermosa,40,MX,1563938680,88,14.92,-92.27,300.15,1.35
462,Abnub,0,EG,1563938680,57,27.27,31.15,298.15,2.1
463,Barcelona,20,ES,1563938195,73,41.38,2.18,299.26,1.5
464,Lucapa,76,AO,1563938680,35,-8.42,20.74,288.732,1.82
465,Mayenne,0,FR,1563938680,88,48.3,-0.62,294.15,1.5
466,Harindanga,40,IN,1563938680,79,22.04,88.32,304.15,4.1
467,Itoman,75,JP,1563938681,70,26.12,127.67,305.15,4.6
468,Ilhabela,0,BR,1563938681,71,-23.78,-45.36,295.282,3.59
469,San Quintin,100,PH,1563938681,80,17.54,120.52,301.002,0.54
470,Fernie,75,CA,1563938681,44,49.5,-115.06,299.15,6.2
471,Jamame,52,SO,1563938681,78,0.07,42.75,296.882,4.35
472,Saint-Augustin,40,CA,1563938431,82,45.63,-73.98,293.15,2.01
473,Qaqortoq,75,GL,1563938682,76,60.72,-46.03,282.15,3.6
474,The Valley,40,AI,1563938682,74,18.22,-63.06,301.48,3.6
475,Evensk,50,RU,1563938682,41,61.92,159.24,287.402,0.75
476,Atasu,0,KZ,1563938682,47,48.68,71.64,295.122,4.74
477,Ixtapa,90,MX,1563938682,100,20.71,-105.21,298.71,3.1
478,Baiquan,81,CN,1563938683,84,47.61,126.08,297.262,5.38
479,Codrington,0,AU,1563938683,25,-28.95,153.24,297.15,5.7
480,Eregli,0,TR,1563938683,69,37.51,34.05,289.532,0.87
481,Giyon,82,ET,1563938683,96,8.53,37.98,286.592,0.93
482,Bolshoye Nagatkino,93,RU,1563938683,87,54.52,47.97,289.15,1.0
483,Zavetnoye,98,RU,1563938684,53,47.12,43.89,296.262,2.32
484,Mount Isa,1,AU,1563938684,19,-20.73,139.49,299.15,6.7
485,Port-Gentil,100,GA,1563938430,86,-0.72,8.78,297.322,6.71
486,Kuryk,45,KZ,1563938684,30,43.18,51.68,304.002,6.83
487,Nan,75,TH,1563938685,100,18.78,100.78,299.15,2.1
488,Tandalti,16,SD,1563938685,68,13.01,31.87,299.912,5.27
489,Nikki,100,BJ,1563938685,93,9.94,3.21,294.682,3.24
490,Walvis Bay,0,NA,1563938685,87,-22.95,14.51,287.15,2.1
491,Fairbanks,40,US,1563938613,30,64.84,-147.72,302.15,2.1
492,Jeremie,7,HT,1563938686,72,18.65,-74.12,300.692,1.76
493,Linhares,9,BR,1563938686,96,-19.38,-40.06,291.292,0.47
494,Sibolga,13,ID,1563938686,75,1.74,98.78,300.382,2.29
495,Nortelandia,0,BR,1563938686,48,-14.45,-56.8,294.952,1.32
496,Ribeira Grande,100,PT,1563938686,92,38.52,-28.7,296.122,10.12
497,Mamallapuram,75,IN,1563938686,79,12.63,80.17,302.15,3.1
498,Gondanglegi,85,ID,1563938687,55,-7.75,112.01,300.952,5.24
499,Raudeberg,6,NO,1563938687,100,61.99,5.14,289.82,2.6
500,Tipitapa,20,NI,1563938424,69,12.2,-86.1,301.15,5.1
501,Spring,1,US,1563938430,61,30.08,-95.42,301.48,1.5
502,Constitucion,75,MX,1563938687,49,23.99,-104.67,293.15,6.2
503,Cachoeira do Sul,100,BR,1563938687,99,-30.05,-52.89,291.512,1.37
504,Lloydminster,20,CA,1563938573,74,53.28,-110.01,299.15,3.6
505,Tocopilla,100,CL,1563938688,77,-22.09,-70.2,286.542,4.86
506,Belaya Gora,100,RU,1563938688,81,68.54,146.19,285.212,5.88
507,Grandview,75,US,1563938688,60,38.89,-94.53,295.37,1.8
508,Amapa,20,HN,1563938470,78,15.09,-87.97,301.15,5.1
509,Champasak,75,LA,1563938689,88,14.89,105.88,298.15,3.1
510,Abeche,100,TD,1563938689,64,13.83,20.83,300.712,3.4
511,Chernyshevskiy,97,RU,1563938689,40,63.01,112.47,297.352,3.97
512,Mecca,81,SA,1563938689,37,21.43,39.83,300.272,3.37
513,Manjeri,75,IN,1563938661,94,11.12,76.12,297.15,2.1
514,Imbituba,0,BR,1563938690,93,-28.24,-48.67,292.15,0.96
515,Mlimba,0,TZ,1563938690,80,-8.78,35.81,283.302,2.44
516,Terenos,0,BR,1563938690,56,-20.44,-54.87,294.15,3.6
517,Fortuna,20,US,1563938443,87,40.6,-124.16,289.82,5.1
518,Ola,0,RU,1563938690,61,59.58,151.3,283.332,5.12
519,Aguada de Pasajeros,61,CU,1563938691,94,22.38,-80.85,298.15,4.6
520,Nizhniye Vyazovyye,20,RU,1563938691,72,55.8,48.52,290.15,2.0
521,Vanimo,100,PG,1563938691,68,-2.67,141.3,301.782,2.75
522,Gusau,2,NG,1563938691,84,12.17,6.66,296.202,3.35
523,Rapid Valley,1,US,1563938691,94,44.06,-103.15,297.04,2.6
524,Kirakira,96,SB,1563938692,73,-10.46,161.92,299.562,7.45
525,Santa,100,PH,1563938692,80,17.49,120.43,300.952,2.36
526,Jalu,0,LY,1563938692,57,29.03,21.55,295.992,4.49
527,San Juan,0,AR,1563938401,66,-31.54,-68.53,272.082,0.96
528,Ust-Maya,0,RU,1563938692,37,60.42,134.54,298.442,2.15
529,Erenhot,97,CN,1563938693,34,43.65,111.97,300.322,5.58
530,Talnakh,75,RU,1563938693,82,69.49,88.39,286.15,10.0
531,Nara,20,JP,1563938693,62,34.68,135.8,307.04,3.6
532,Louth,90,GB,1563938693,93,53.37,0.0,294.26,2.1
533,Trinidad,65,BO,1563938694,72,-14.83,-64.9,297.002,1.98
534,Teknaf,100,BD,1563938694,87,20.86,92.31,300.242,5.98
535,Shenjiamen,95,CN,1563938694,81,29.96,122.3,302.052,4.03
536,Hue,75,VN,1563938694,44,16.47,107.58,308.15,2.1
537,Hohhot,0,CN,1563938694,54,40.81,111.65,299.15,2.0
538,Cabedelo,40,BR,1563938695,100,-6.97,-34.84,296.15,4.1
539,Buin,0,CL,1563938695,86,-33.73,-70.74,276.15,1.64
540,Ati,43,TD,1563938695,68,13.21,18.34,301.082,3.89
541,Sur,42,OM,1563938695,71,22.57,59.53,300.572,5.47
542,Bo Rai,40,TH,1563938695,83,12.57,102.54,303.71,4.1
543,Krasnyy Chikoy,84,RU,1563938696,88,50.36,108.75,287.462,2.07
544,Virginia Beach,90,US,1563938514,94,36.85,-75.98,295.37,3.6
545,Trelew,0,AR,1563938696,60,-43.25,-65.31,277.352,2.06
546,Asyut,0,EG,1563938696,57,27.18,31.19,298.15,2.1
547,Homer,90,US,1563938696,82,59.64,-151.54,290.93,2.1
548,Los Llanos de Aridane,0,ES,1563938499,73,28.66,-17.92,294.15,5.1
549,Asmar,6,AF,1563938696,69,35.03,71.36,295.232,1.28
550,Bilibino,100,RU,1563938697,85,68.06,166.44,274.562,3.55
551,Tumanyan,63,AM,1563938697,94,40.99,44.66,288.972,0.3
552,San Benito,100,CO,1563938697,93,6.13,-73.51,290.892,1.92
553,Grants,1,US,1563938606,56,35.15,-107.85,294.15,3.1
554,Kawalu,84,ID,1563938697,69,-7.38,108.21,297.442,2.4
555,Sari,75,IR,1563938440,88,36.57,53.06,300.15,2.1
556,Natal,40,BR,1563938698,83,-5.81,-35.21,297.15,2.6
